update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,Games,Strat,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
362,1853440,1615.452591578053,1202,0.057776367478072646,0.15040010360193298,0.0,0.5914843678474426,1,0.0,1.9425843477249145,0.001218146319843072,-0.0015884829550486756,0.00016887689007489827,0.0023544242,0.057776367478072646,0.15040010360193298,0.0,0.5914843678474426
363,1858560,1617.312696441915,1205,0.0700585937127471,0.1645728303840422,0.0,0.5914843678474426,2,0.0,1.9411809265613555,0.00035202378276153465,-0.0016186443623155355,9.171793335553957e-05,0.0018929339,0.0700585937127471,0.1645728303840422,0.0,0.5914843678474426
364,1863680,1623.1139597177462,1208,0.061093750037252904,0.14446308821477,0.0,0.49128904938697815,4,0.0,1.9411278784275054,0.0012210517685161903,-0.0005180088219276513,0.0001381611165470531,0.0022332575,0.061093750037252904,0.14446308821477,0.0,0.49128904938697815
365,1868800,1612.8387357020476,1211,0.08121582064777613,0.18493763719931733,0.0,0.804882824420929,1,0.0,1.9437532067298888,-0.0029246973754197825,-0.003184409788809717,0.0002588805615687306,0.0026648627,0.08121582064777613,0.18493763719931733,0.0,0.804882824420929
366,1873920,1641.7381625190196,1214,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929,2,0.0,1.9443658113479614,0.002234316359681543,-0.0013759966103862099,0.00019963476806879045,0.0019062308,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929
367,1879040,1626.5742275663977,1217,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929,0,0.0,1.945331209897995,-0.009796538623049855,-0.0018083324015606196,1.204872814923874e-05,0.0009401689,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929
368,1884160,1633.8688162634905,1221,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929,0,0.0,1.945362114906311,-0.009779452858492733,-0.0017237098305486142,6.779976968118717e-06,0.00059578253,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929
369,1889280,1625.9450318123584,1224,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929,0,0.0,1.94538956284523,-0.006049493583850563,-0.0012068239448126405,8.036301869651652e-06,0.0005200567,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929
370,1894400,1624.991759961578,1227,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929,4,0.0,1.94561607837677,-0.006998659181408584,-0.0013024396175751463,8.241173713940952e-06,0.0005580549,0.08808886744081974,0.1908614648694101,0.0,0.804882824420929
371,1899520,1638.2471392630525,1230,0.07745019532740116,0.18347196191619466,0.0,0.804882824420929,1,0.0,1.9457302391529083,-0.002677852544002235,-0.0005589518419583328,9.654977219497596e-07,0.00022306773,0.07745019532740116,0.18347196191619466,0.0,0.804882824420929
