update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
75,384000,1635.0831035887663,261,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458445489406586,0.0025213630171492694,0.0004441777768079191,6.408344233932439e-07,0.00015653111,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
76,389120,1613.7655497545554,265,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458735525608062,0.0019012860022485257,0.0003290932530944701,4.0970432024778347e-07,0.000134406,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
77,394240,1626.4852805558887,268,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.9458835482597352,0.001951505575561896,0.000327210572140757,3.455244964811754e-07,0.00018234525,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
78,399360,1606.8892923041053,271,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.945855873823166,0.001280821891850792,0.00025506088786642067,1.3644689289549206e-06,0.00031588398,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
79,404480,1609.5192286360646,274,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284,1.945881724357605,0.0012058089778292924,0.00021799119131173938,3.0166368034656445e-07,9.043883e-05,0.01731249988079071,0.10811652710281049,0.0,0.6924999952316284
80,409600,1609.5834074109607,277,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458612084388733,0.000625239170040004,0.00020590925196302124,5.716479392958718e-07,0.00018495639,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
81,414720,1637.7525059901398,280,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458958148956298,0.0008088379923719913,0.0002523765702790115,2.5863646726520526e-07,0.00011419249,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
82,419840,1611.1647613263494,284,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458981096744536,0.0002389232497080229,4.8545481422479495e-05,1.1571389464393178e-07,8.75701e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
83,424960,1624.9782342061317,287,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458974361419679,0.0003909314378688578,5.2040471473446814e-05,1.504626364834394e-07,0.00012266026,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
84,430080,1633.721895585243,290,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.945899522304535,0.000421881114016287,7.167146668507485e-05,1.574849001428902e-07,7.491225e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
85,435200,1609.3597689518824,293,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458989024162292,0.00045474460785044357,7.257031252265733e-05,1.5145112257641814e-07,9.258375e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
86,440320,1617.6428500620848,296,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458964586257934,0.00036081241705687717,7.132271193768246e-05,1.7204785791591347e-07,6.0384074e-05,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
87,445440,1623.1013239392528,299,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458925247192382,0.00033657676249276847,6.264130347517493e-05,1.6089768877236567e-07,0.00010042354,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
88,450560,1576.7049471761275,303,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458936989307403,0.00035806095984298737,4.763884678595787e-05,1.8530388743442927e-07,0.0001276563,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
89,455680,1638.7350685107124,306,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284,1.9458895385265351,0.00010353000407121726,2.09941476896347e-05,3.9067912283030637e-07,0.00010974789,0.01731249988079071,0.10811652710281047,0.0,0.6924999952316284
90,460800,1622.6591956022314,309,0.01767578125,0.11038521852637792,0.0,0.70703125,1.9435634553432464,0.0022895730809977975,-0.002347208558785496,0.0003604610659749596,0.0029534134,0.01767578125,0.11038521852637792,0.0,0.70703125
91,465920,1629.325539824889,312,0.029931640625,0.13270143240448057,0.0,0.70703125,1.9453079283237458,0.0046808396120468386,-0.0003825065115961479,9.757511888892622e-05,0.0028538578,0.029931640625,0.13270143240448057,0.0,0.70703125
92,471040,1616.0469362301142,315,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.9446841418743133,0.009794719924684614,-0.0008562798415368888,0.00026815133714990224,0.005764088,0.04431445300579071,0.1575322640183391,0.0,0.70703125
93,476160,1627.2963888142697,318,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.945598977804184,0.0034081767895258962,0.0005236201373918448,3.853901826005313e-05,0.0018620575,0.04431445300579071,0.1575322640183391,0.0,0.70703125
94,481280,1623.551671635894,322,0.04431445300579071,0.1575322640183391,0.0,0.70703125,1.9452861368656158,0.00148516733024735,-0.0008640037987788674,0.00010538580977481615,0.0024559223,0.04431445300579071,0.1575322640183391,0.0,0.70703125
95,486400,1630.4302075654057,325,0.05872070342302323,0.17785855611921506,0.0,0.70703125,1.9443232834339141,0.006372881541028619,-0.0004949681193465949,0.00012475113712753227,0.0023157313,0.05872070342302323,0.17785855611921506,0.0,0.70703125
96,491520,1635.731852188127,328,0.08559374958276748,0.20542578613770102,0.0,0.70703125,1.9421336114406587,0.002149281294987304,-0.0027769190118306143,0.00025339015901408856,0.0048869424,0.08559374958276748,0.20542578613770102,0.0,0.70703125
97,496640,1631.5845941076668,331,0.08559374958276748,0.20542578613770102,0.0,0.70703125,1.9455206394195557,-0.002203868082142435,-0.000740648163628066,1.530356637431396e-05,0.0012906505,0.08559374958276748,0.20542578613770102,0.0,0.70703125
98,501760,1607.1792386335453,334,0.09732812494039536,0.21345046796590758,0.0,0.70703125,1.9435787618160247,0.0005844816423632437,-0.0015754939406178892,0.0001371248583382112,0.0034461268,0.09732812494039536,0.21345046796590758,0.0,0.70703125
99,506880,1623.2178749886714,337,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9440979301929473,-0.0015227155017782934,-0.0018219269331893884,0.00012571200377351489,0.0027396656,0.10834765583276748,0.21943530731935562,0.0,0.70703125
100,512000,1610.671847656809,340,0.10834765583276748,0.21943530731935562,0.0,0.70703125,1.9453757405281067,-0.00019098772872894187,-2.504814310668735e-05,1.239042012457503e-05,0.0012244806,0.10834765583276748,0.21943530731935562,0.0,0.70703125
