update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,entropy,value,policy_loss,value_loss,grad_norm,Games,Strat,return_mean,return_std,return_min,return_max
436,2232320,1408.3295097743076,1388,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426,1.945763784646988,-0.0010803769167978317,-0.0002554473332565976,3.0683183410928906e-06,0.00026594152,3,0.0,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426
437,2237440,1543.2305080058882,1391,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426,1.9456580519676208,-0.0008016841624339577,-1.9854086440318496e-05,2.6516730883940907e-06,0.0003125,2,0.0,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426
438,2242560,1532.0851741681981,1395,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426,1.9433039546012878,0.001521085965941893,-0.0008946325186116155,7.131512566047605e-05,0.001556111,1,0.0,0.042400391027331355,0.13499893834302576,0.0,0.7233203053474426
439,2247680,1654.1799060480282,1398,0.04573535285890103,0.12721657122268942,0.0,0.6361328363418579,1.9430901288986206,0.0024603627403848804,-0.0021020556217990817,0.0003107609234575648,0.0025351346,6,0.0,0.04573535285890103,0.12721657122268942,0.0,0.6361328363418579
440,2252800,1577.0043679865455,1401,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579,1.9449662029743195,-0.0015182174771325662,-0.0005150214426976163,2.678568180272123e-05,0.001192927,6,0.0,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579
441,2257920,1632.9084682251462,1404,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579,1.9457899808883667,-0.004842202865984291,-0.0008550518745323643,3.7265299908995075e-06,0.0003335738,0,0.0,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579
442,2263040,1613.8956822494397,1407,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579,1.9452685832977294,-0.0016533305944903987,-0.0007378685259027407,2.2044378852115187e-05,0.0007888029,2,0.0,0.043713868409395215,0.1254545643551173,0.0,0.6361328363418579
443,2268160,1630.9643990608004,1410,0.06045214906334877,0.1587516590542898,0.0,0.6695312261581421,1.9442651271820068,0.0021971255366224794,-0.0019511839484039229,0.00014894324799570314,0.0029362657,4,0.0,0.06045214906334877,0.1587516590542898,0.0,0.6695312261581421
444,2273280,1621.037221109651,1413,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9457736611366272,-0.003838599077425897,-0.0007245566906931344,3.5707235838344787e-06,0.0004346286,1,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
445,2278400,1625.6113579132184,1417,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9456442892551422,-0.0038493200787343084,-0.0006854386258055456,6.760631578117682e-06,0.0005824263,0,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
446,2283520,1615.4632856749856,1420,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9458257913589478,-0.00200486532994546,-0.00019083673196291785,2.2440635305542855e-06,0.00028244892,1,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
447,2288640,1610.360835306337,1423,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9458879828453064,-0.002537547401152551,-0.0004384642714285292,5.12870438740265e-07,0.00013767177,2,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
448,2293760,1623.2024156761656,1426,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9459005832672118,-0.00225652945227921,-0.00039008654857752845,2.653773833571904e-07,8.826149e-05,0,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
449,2298880,1587.8843156650805,1429,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.9458891808986665,-0.0016514546878170222,-0.0002949743800854776,2.3778882365377286e-07,6.883327e-05,0,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
450,2304000,1590.8067544354215,1433,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421,1.945903331041336,-0.001541070593520999,-0.00027202169585507365,2.855265421430886e-07,7.4556214e-05,1,0.0,0.05786425843834877,0.15887225075125072,0.0,0.6695312261581421
451,2309120,1610.0410104371938,1436,0.05786425843834877,0.1588722507512507,0.0,0.6695312261581421,1.945891559123993,-0.0009373910172143951,-0.00014101569895501597,5.900606183217861e-07,0.00014623058,4,0.0,0.05786425843834877,0.1588722507512507,0.0,0.6695312261581421
452,2314240,1589.3576600036488,1439,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421,1.9459031343460083,-0.000854871459887363,-0.00013155473029655696,2.7513497400377675e-07,8.275425e-05,1,0.0,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421
453,2319360,1381.095071707195,1443,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421,1.94586181640625,-0.0007355630688834936,-0.00013019550606259146,1.0069187084127407e-06,0.00015340556,3,0.0,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421
454,2324480,1625.3893947965043,1446,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421,1.9458968102931977,-0.0007539458369137719,-0.00012074984297214542,2.4175452324470824e-07,7.577891e-05,1,0.0,0.0486933596432209,0.15117342954906177,0.0,0.6695312261581421
455,2329600,1633.615388401387,1449,0.041016601771116254,0.14554993300253363,0.0,0.6695312261581421,1.9458917140960694,-0.00046490010136039927,-6.253453234421613e-05,4.79461679248061e-07,8.777962e-05,3,0.0,0.041016601771116254,0.14554993300253363,0.0,0.6695312261581421
456,2334720,1359.002151321533,1453,0.041016601771116254,0.14554993300253363,0.0,0.6695312261581421,1.945836317539215,0.0002923715243014158,-0.0001122153150390659,2.6883050963988352e-06,0.00022528926,2,0.0,0.041016601771116254,0.14554993300253363,0.0,0.6695312261581421
457,2339840,1587.227556874917,1456,0.0513916015625,0.15662590058346712,0.0,0.6695312261581421,1.9442629039287567,0.0019279914551589173,-0.000771116749228895,8.665503642362183e-05,0.0018015197,3,0.0,0.0513916015625,0.15662590058346712,0.0,0.6695312261581421
